date,start_utc,utc_hour,weekday,方向,open,high,low,close,bar_range,bar_body,bar_dir,volume,spread,触发分钟数,最大行程($)
2025-05-11,2025-05-11 14:00:00+00:00,14,Sun,DN↓,3323.345,3323.345,3323.345,3323.345,0.0,0.0,-,0.0,0,480,51.53999999999997
2025-05-15,2025-05-15 07:41:00+00:00,7,Thu,UP↑,3135.975,3136.055,3132.215,3133.415,3.84,-2.56,🔴,0.07767,0,280,52.48000000000002
2025-11-18,2025-11-18 12:57:00+00:00,12,Tue,UP↑,4030.755,4032.505,4029.015,4030.175,3.49,-0.58,🔴,0.06748,0,81,50.10999999999967
2026-02-01,2026-02-01 15:06:00+00:00,15,Sun,DN↓,4895.118,4895.118,4895.118,4895.118,0.0,0.0,-,0.0,0,480,77.52000000000044
2026-04-22,2026-04-22 22:00:00+00:00,22,Wed,DN↓,4739.945,4746.245,4739.945,4745.465,6.3,5.52,🟢,0.02538,0,136,51.82700000000023
2026-06-02,2026-06-02 02:40:00+00:00,2,Tue,UP↑,4478.625,4478.945,4476.435,4476.845,2.51,-1.78,🔴,0.02706,0,175,51.13000000000011
