event,direction,tr_ratio@-1,vol_ratio@-1,dir_cons@-1,net_move15@-1,near_hi@-1,near_lo@-1,tr_ratio@-5,vol_ratio@-5,dir_cons@-5,net_move15@-5,near_hi@-5,near_lo@-5,tr_ratio@-15,vol_ratio@-15,dir_cons@-15,net_move15@-15,near_hi@-15,near_lo@-15,tr_ratio@-30,vol_ratio@-30,dir_cons@-30,net_move15@-30,near_hi@-30,near_lo@-30,tr_ratio@-60,vol_ratio@-60,dir_cons@-60,net_move15@-60,near_hi@-60,near_lo@-60,tr_ratio@-120,vol_ratio@-120,dir_cons@-120,net_move15@-120,near_hi@-120,near_lo@-120
2025-05-05 03:32,UP↑,0.7427568037250771,0.344229216837239,0.6,-2.899999999999636,0,0,1.0006464117642775,0.6751643606206945,0.6,-2.2799999999997453,0,0,0.993487139202924,0.8328802210169339,0.6,-11.279999999999745,0,1,0.9450083652347465,0.6954553576301037,0.8,1.150000000000091,0,0,0.8547911792369777,0.9994944789277072,0.8,5.709999999999582,0,0,1.353325478406321,2.8388180461973804,0.6,11.759999999999764,0,0
2025-05-06 14:42,UP↑,0.8460342142430738,0.9831403877065227,0.6,-1.0899999999996908,0,0,1.147626794448198,1.422582135775244,0.6,-5.769999999999982,0,0,1.2346145581985628,1.0838267734897193,0.6,-5.980000000000018,0,0,0.7062404867366152,0.5957638443408562,0.6,2.980000000000018,0,0,1.4716701023645342,1.3139462517232363,0.6,-1.9400000000000546,0,0,1.185312678608544,1.2554120853828088,0.6,12.720000000000255,0,0
2025-05-08 03:09,DN↓,1.0032358645625106,0.789560343202329,0.6,-3.0299999999997453,0,0,0.820480451033775,1.3171260814414854,0.6,-0.7199999999997999,0,1,0.757319955256696,0.31912854227430115,0.8,0.2199999999997999,0,0,0.7327461316859706,0.45152396917530835,1.0,-5.339999999999691,0,0,1.1313401850220994,1.0121198721448015,0.6,8.079999999999927,0,0,1.546402501800659,2.1992799945972914,0.6,8.039999999999964,0,0
2025-05-11 14:00,DN↓,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1
2025-05-15 07:41,UP↑,1.3310176041694006,0.7214357681766885,0.8,-7.940000000000055,0,0,1.1007631204949349,0.5082050795091075,0.8,-3.9100000000003092,0,1,0.7685039366620215,0.43197708165607973,0.6,-4.880000000000109,0,0,0.783072967831119,0.518337909923913,0.8,-3.1099999999996726,0,0,1.1908093937084665,1.089516862425184,0.8,10.299999999999727,0,0,1.2794390588082658,1.126920552716676,0.6,-6.920000000000073,0,1
2025-06-02 02:21,UP↑,1.0616261648353635,1.110855419385699,0.6,0.15000000000009095,0,0,0.6974411911382299,0.8925691395822697,0.8,4.400000000000091,0,0,0.8834174922535517,0.7819354660694583,0.8,4.032999999999902,0,0,0.8454882564927517,1.0484883413193458,0.6,-0.44000000000005457,0,1,1.245079504126498,1.434397611849051,0.4,-2.5470000000000255,0,0,1.1360076267084112,0.9114453047988158,0.6,1.3699999999998909,0,0
2025-09-24 11:37,DN↓,1.2362626042023759,1.0563060649331422,1.0,4.569999999999709,1,0,0.7265126663377429,0.6723508936810424,0.6,-0.5,0,0,1.0379124203539518,1.1110970097585449,0.6,4.019999999999982,1,0,1.1333090405150736,0.9811044943571404,0.6,0.18000000000029104,0,0,0.5909827465532531,0.7050022071702389,0.6,2.25,0,0,0.8595376038031337,0.7120549317740775,0.6,-2.48700000000008,0,1
2025-10-08 01:04,UP↑,1.4517306194062367,1.7580080762295078,0.8,-7.900000000000091,0,1,1.0086915101736178,1.38109647388416,1.0,-2.586999999999989,0,0,0.9954355117163404,0.7249716670364089,0.6,2.25,0,0,3.356153285855205,2.209399920914761,0.6,-3.813000000000102,0,0,1.1252044736767182,1.2434340103616275,1.0,1.6300000000001091,1,0,1.4930433797936746,2.1454705141407104,0.6,3.0,0,0
2025-10-30 03:00,UP↑,1.2873925280896277,0.9692268971403998,0.8,-14.980000000000018,0,1,0.8601045331445359,0.8421268635488358,0.6,-14.319999999999709,0,1,0.965140043997171,0.8685660415939888,1.0,4.550000000000182,0,0,0.6723901410653148,0.7981015033157792,0.8,-5.8400000000001455,0,0,1.0637298498754781,0.8530132131738664,0.8,-11.569999999999709,0,1,1.1660037654038677,1.0009166027279894,0.6,12.220000000000255,0,0
2025-10-30 07:46,UP↑,0.9032082037604722,1.0585698753217025,0.8,-5.110000000000127,0,0,0.7162118180588707,0.9925839577742142,0.6,2.769999999999982,0,0,1.3126205836894906,1.0436902483538466,0.6,-3.5399999999999636,0,0,0.66306876611124,0.9267097563995229,0.6,-3.930000000000291,0,0,0.9483924498235297,0.6249432865702841,0.8,-3.150000000000091,0,0,1.0989904941127884,1.1102494170253554,0.6,14.63000000000011,0,0
2025-11-18 12:57,UP↑,1.0022871501155899,1.3591341242921628,0.6,-6.619999999999891,0,1,0.7757126916016784,1.682048319564905,0.6,-2.700000000000273,0,0,1.1309623726559705,1.0779618841598972,0.6,1.4299999999998363,0,0,1.3746886066938044,2.018648154130115,0.8,-6.150000000000091,0,0,1.0750998075665252,1.155749132366013,0.8,-6.480000000000018,0,1,0.7221623784553212,0.9986659287409202,0.8,1.800000000000182,0,0
2025-12-12 04:16,UP↑,0.9003531820907907,0.441197216728949,0.6,-2.3400000000001455,0,1,0.6003995827254885,0.34243218085978205,0.6,-0.8400000000001455,0,0,0.6456543092164538,0.3195993231227526,0.6,-2.949999999999818,0,0,0.8385030336831338,0.8243579695513664,0.8,2.3099999999994907,0,0,0.9677062453679446,0.9254724166098957,0.6,0.6300000000001091,0,0,0.9231039217741503,0.9925944836727549,0.6,3.649999999999636,0,0
2025-12-22 18:42,UP↑,0.8669486230046969,0.6697800851211894,0.8,-2.2100000000000364,0,0,0.9511952183340856,1.198842103366209,0.8,-2.9200000000000728,0,0,1.3398803761015194,1.5800962469453064,0.6,-0.5600000000004002,0,0,0.8997242845824481,1.3102589622766012,0.6,-1.6000000000003638,0,0,0.7551831604261248,1.3613968793724973,0.6,-1.3999999999996362,0,0,0.9241520938601497,0.8074058142211507,0.8,-0.21000000000003638,0,0
2026-01-20 03:07,UP↑,1.1026970722095522,0.883118584890702,0.6,-1.4099999999998545,0,0,1.222410865076339,0.8927480140341195,0.6,0.09000000000014552,0,0,0.8840031580872836,1.1447615346600941,0.6,-4.980000000000473,0,0,1.1180042520652425,0.9755168623293783,0.6,5.800000000000182,0,0,1.0659320911037218,0.9183942159413488,0.6,-4.010000000000218,0,0,2.291251923306146,1.9853365356707764,0.8,9.710000000000036,1,0
2026-01-20 23:56,UP↑,1.2227189054377063,1.4518040249634436,0.8,10.86999999999989,0,0,1.9041538798293383,2.309673011800513,0.8,14.180000000000291,0,0,1.1007143184628225,1.3262530120131824,0.6,4.3200000000006185,0,0,1.4156528509328226,1.34115186044227,0.6,1.2100000000000364,0,0,0.0,0.0,0.0,0.0,1,1,0.8863501590470483,0.5480509246591176,0.6,4.009999999999309,0,0
2026-01-22 15:07,UP↑,1.264544922888065,1.322947469466708,0.6,-6.229999999999563,0,0,1.7104559114899986,1.5386660066938118,0.6,-9.649999999999636,0,0,1.3088291093022326,1.3941633004622045,0.6,3.0999999999994543,0,0,2.0340953632879333,2.1017965611964717,0.6,12.930000000000291,0,0,0.830074113463618,0.7768018812143022,0.6,1.449999999999818,0,0,1.6563683933582696,1.528393653024538,0.8,-7.039999999999964,0,0
2026-02-01 15:06,DN↓,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1
2026-02-18 01:39,UP↑,0.7644137772418715,0.7833887946212931,0.8,4.630000000000109,0,0,1.0178681314077873,0.6657799849027985,0.6,3.509999999999309,0,0,0.5574570516504849,1.5282543823654051,0.6,-3.7700000000004366,0,0,0.8403700620299025,1.3249688241613604,0.8,9.550000000000182,0,0,0.7664062282193846,0.8789658661793207,0.6,5.949999999999818,0,0,1.2564487207726158,1.2899290298655433,0.6,-6.019999999999527,0,0
2026-02-23 14:00,UP↑,1.0863601444009603,1.0925494506143694,0.8,-6.509999999999309,0,0,0.7334927399457736,0.8088588171220422,0.6,0.3400000000001455,0,0,1.2002457604677161,0.7868588692491117,0.6,-3.9600000000000364,0,0,1.4050317444646925,1.430826386469713,1.0,-1.2100000000000364,0,0,0.7891758913705161,0.8706758357660714,0.6,1.8200000000006185,1,0,1.026012453636403,1.1490159910115536,0.6,-0.6300000000001091,0,0
2026-03-20 07:10,UP↑,0.990271449866322,0.7443793206888969,0.6,13.890000000000327,0,0,0.8438780461122302,0.8252592106836745,0.6,1.610000000000582,0,0,0.8636264453712896,1.2173138348980455,0.6,3.4700000000002547,0,0,1.0196075547101566,1.1018876858467637,1.0,-23.970000000000255,0,1,1.0841642121798916,1.041060589696124,0.8,-8.36999999999989,0,1,0.838763289735916,1.0443374028001713,0.8,-9.400000000000546,0,0
2026-04-06 03:40,UP↑,0.6281471543293696,0.7906646503916474,0.6,-1.9099999999998545,0,0,1.0048576245386989,0.9171553611506437,0.6,2.9600000000000364,0,0,0.7049271281093713,1.0073471553927884,0.8,-2.550000000000182,0,0,0.9862908235563151,0.8543693638671616,0.8,-15.929999999999382,0,0,0.9182978968653274,0.751283036210612,0.8,-13.210000000000036,0,0,1.1103896100908663,1.2673393128337493,0.6,-5.51299999999992,0,0
2026-04-22 22:00,DN↓,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.7548928231044376,0.9402621480890386,0.4,1.4799999999995634,0,0,1.177049826740124,1.0530156916596876,0.8,-1.3599999999996726,0,0
2026-04-23 10:19,UP↑,1.4726722994933943,1.1166306088741582,0.8,-9.740000000000691,0,0,1.664419005019104,1.4764313171023318,0.6,-8.470000000000255,0,0,0.9463136451586251,1.083287898365781,1.0,1.839999999999236,0,0,0.827824939836303,0.8182062947322095,0.8,-2.4600000000000364,0,0,1.0171763836537686,1.2080725259519818,0.6,3.0799999999999272,0,0,0.6237155926091826,0.7719254103285595,0.6,-1.1199999999998909,0,0
2026-05-12 16:23,UP↑,0.7197309809256938,0.7870731156178512,0.8,0.25,0,0,0.6752511026793538,0.7023627590946393,0.6,2.2200000000002547,0,0,0.5342461626426849,0.7785656492004268,0.6,3.7000000000007276,0,0,0.6018936286485553,0.8529199675965387,0.6,-0.07000000000061846,0,0,1.629699170577111,1.108087398124688,0.8,-29.020000000000437,0,0,0.7372609375838245,0.86710416446849,0.8,-1.7600000000002183,0,0
2026-05-26 18:02,UP↑,1.554685145191406,1.640684104712503,0.6,-6.329999999999927,0,0,1.9093576772680834,1.406162444124068,0.8,-3.600000000000364,0,0,1.2348322617882537,0.9131435397995125,0.6,-0.15999999999985448,0,0,2.132239392616802,1.6820288506673657,0.8,-3.1799999999993815,0,0,0.7022178956390678,0.6487632301161923,0.6,1.6869999999998981,0,0,0.7661067932985324,0.9474626790999765,0.6,-0.9799999999995634,0,0
2026-06-02 02:40,UP↑,0.7999856114817272,0.7705634331240464,0.6,-5.039999999999964,0,0,0.70467091270189,0.8927805372385831,0.6,-2.100000000000364,0,0,0.5840084928477965,0.6461343813730971,0.6,6.910000000000764,0,0,0.6374285572847462,0.7720706765821352,0.8,2.2269999999998618,0,0,0.9923266597718344,0.9328693591859438,0.6,-2.4399999999996,0,0,0.7484550236657798,0.9488900377720415,0.6,-1.1900000000005093,0,0
2026-06-24 16:35,DN↓,0.95526938375751,0.9167293166246137,0.6,12.069999999999709,0,0,0.8196314611737008,0.8536689988615257,0.8,11.550000000000182,1,0,0.8165403306605847,0.7042693372549285,0.6,-0.03999999999996362,0,0,0.9318950405770345,0.9359487196357249,0.6,-9.180000000000291,0,0,0.8523548924341671,0.8169058019141033,0.6,-5.119999999999891,0,0,0.6761915688780419,0.8350101394503443,0.6,13.342999999999847,0,0
2026-07-01 10:11,UP↑,1.0755055634255335,1.1238345701082477,0.8,1.2999999999997272,0,0,1.206065592190344,1.187484430929866,0.8,4.619999999999891,0,0,0.8561782573558046,1.0646319029776794,0.6,5.079999999999927,1,0,0.886532821416769,0.7877408121472379,0.6,2.2599999999997635,0,0,1.0087123019576205,0.9633976910335539,0.6,-0.1999999999998181,0,0,0.6939534880493298,0.9785574625012669,0.8,-4.7800000000002,0,0
2026-07-08 15:30,UP↑,0.7171784898170322,0.9816560770034451,0.8,-2.980000000000018,0,0,0.9351128279212111,0.9542706251139225,0.8,-13.11999999999989,0,0,0.8821710750046143,0.9937088866733885,0.8,-6.640000000000327,0,0,0.7560234694962248,1.0843889506791458,1.0,0.11000000000012733,0,0,0.9158330456409695,1.041757813546892,0.8,4.559999999999945,0,0,1.206156131422002,1.0752381594272562,0.6,-3.269999999999982,0,0
2026-07-15 16:56,UP↑,0.8073867876403716,0.9369036181853019,0.8,2.1399999999998727,0,0,1.2709541016418284,1.0150943162228525,0.6,5.550000000000182,0,0,1.1252052860912347,1.0330075800294185,0.8,-5.0,0,0,1.1651682501078284,1.0555228116240638,0.6,-2.2899999999999636,0,0,0.834224598530906,0.7609815577122969,0.6,-1.9899999999997817,0,0,0.888795811145997,0.9478175428414425,0.6,-3.900000000000091,0,0
2026-07-29 14:43,UP↑,0.8143772775614566,0.7962210122443821,0.8,-0.8699999999998909,0,0,0.6978309645856708,0.8255680119917068,0.8,-3.2800000000002,0,0,0.7723149803782233,0.8887690856823742,0.6,8.2199999999998,0,0,0.8199801596008481,1.1094223694586793,0.6,-9.889999999999873,0,0,1.0887346813426433,1.553351748981669,0.6,-4.559999999999945,0,0,1.1230485137873205,1.016072747605124,0.8,3.9600000000000364,0,0
2026-08-05 01:10,UP↑,1.161527465083851,1.4788745395356255,0.8,-1.3500000000003638,0,0,1.969904239522282,2.4331293173637443,0.8,0.5099999999997635,0,0,1.0023562669634807,1.0883111551989906,0.6,2.1599999999998545,0,0,1.1948445783208337,0.9643897564086656,0.6,2.6599999999998545,0,0,0.8010075561247956,1.4949729909947262,0.8,-0.2300000000000182,0,0,0.9934108216938219,1.297196316063264,0.8,-7.420000000000073,0,0
2026-08-05 10:02,UP↑,1.3054344659661565,1.0755459419023274,0.6,-2.869999999999891,0,0,1.4370498407161019,0.9791257455745715,0.6,1.2100000000000364,0,0,0.8828536678865063,1.0443225172267736,0.6,0.18999999999959982,0,0,1.2841564476609852,1.2116559198089087,0.6,-5.029999999999745,0,0,1.1500132653859652,1.257787277903837,0.8,0.5999999999994543,0,0,0.9359486840555669,1.0287030361933405,0.6,3.430000000000291,0,0
2026-09-11 03:45,UP↑,0.9672179243928958,0.8679493136691975,0.6,-0.9899999999997817,0,0,0.9012567083755065,0.7807249860453177,0.8,0.9399999999995998,0,0,0.7553426908584456,0.9366076179520357,0.8,-10.394000000000233,0,0,0.9510659950764214,0.9454648148885282,0.8,-3.5859999999993306,0,0,1.292873651768048,1.1245876136127055,0.8,-4.835000000000036,0,0,0.9973335939000538,0.9577969798658194,0.6,-5.5590000000001965,0,0
2026-09-16 01:56,UP↑,0.8136052370469126,0.7917692696772837,0.8,-2.9299999999993815,0,0,1.2118138419397204,1.038046088088596,0.6,-2.4899999999997817,0,0,0.957676088884439,1.1077074822390331,0.6,-1.4200000000000728,0,0,0.9554920370980645,1.2008724373402475,1.0,9.449999999999818,1,0,1.3592630492259956,1.9774059681017133,0.8,-7.680000000000291,0,0,0.8611521411660727,1.1979414043574261,0.6,-2.4700000000002547,0,1
