rule,recall,caught,fires,in_window,precision,fires_per_day
R1_xau_tr>2.5,0.8285714285714286,29,131452,572,0.00435139822901135,179.33424283765348
R9_R1|R8,0.8285714285714286,29,145460,669,0.004599202529905129,198.44474761255117
R2_spx_60<-0.06%,0.8,28,173578,651,0.0037504752906474324,236.80491132332878
R4_xau_60<-0.10%,0.7714285714285715,27,183672,724,0.003941809312252275,250.5757162346521
R3_wti_60>+0.20%,0.6571428571428571,23,181372,565,0.003115144564761926,247.43792633015008
R6_R1&R4,0.5714285714285714,20,55655,317,0.00569580450992723,75.92769440654843
R7_R2&R3,0.42857142857142855,15,58179,292,0.005018993107478643,79.37107776261938
R8_R2&R3&R4,0.2857142857142857,10,27792,232,0.008347725964306276,37.915416098226466
R5_dir_cons_5<0.6,0.0,0,0,0,,0.0
