event,direction,type,tr_slope,tr_early_mean,tr_late_mean,late/early_ratio
2025-05-06 14:42,UP↑,A,0.0054582387435273645,1.3291666666666666,2.28583333333335,1.7197492163009531
2025-05-08 03:09,DN↓,A,0.005418113233428291,0.9106666666666645,1.7017000000000129,1.8686310395314973
2025-05-15 07:41,UP↑,A,0.005867434244367162,1.2971666666666957,2.123833333333293,1.637286393421492
2025-10-08 01:04,UP↑,A,0.007166825554679342,0.12976666666665249,1.516383333333359,11.685461083998392
2025-10-30 03:00,UP↑,A,0.005116946435307465,2.029883333333328,3.0856333333333246,1.5201037826476067
2026-01-20 03:07,UP↑,A,0.002520400534960935,1.1233833333333678,1.5190666666666401,1.3522246784267111
2026-01-22 15:07,UP↑,A,0.01331551215664751,1.5855333333333268,3.782866666666708,2.385863852331533
2026-02-18 01:39,UP↑,A,0.013942105037550083,0.3883999999999863,2.9449999999999816,7.582389289392599
2026-03-20 07:10,UP↑,A,0.008326465141799168,3.238016666666681,4.470050000000007,1.3804901148336648
2026-06-02 02:40,UP↑,A,0.008560513185419187,1.2179166666666332,2.7943833333333714,2.294396168320313
2026-07-29 14:43,UP↑,A,0.00878798738040529,1.0216666666666545,2.6943333333333004,2.637194127243066
2026-08-05 01:10,UP↑,A,0.00726613542059604,0.2121666666666594,1.6601666666666914,7.824823252160636
2026-09-16 01:56,UP↑,A,0.005240063783821055,1.095833333333303,2.2260000000000066,2.0313307984791495
2025-05-05 03:32,UP↑,B,0.0012226432564040144,1.3178333333333057,1.5221666666666351,1.15505248513975
2025-05-11 14:00,DN↓,B,0.0,0.0,0.0,
2025-06-02 02:21,UP↑,B,0.0009909339528823872,1.2121333333333042,1.3112833333333052,1.0817979320206825
2025-09-24 11:37,DN↓,B,0.00030446486745989943,0.9693833333333259,0.9793666666666467,1.0102986434674837
2025-10-30 07:46,UP↑,B,-0.0002819202016391129,3.1692833333333437,2.7994833333333644,0.8833174692491012
2025-11-18 12:57,UP↑,B,-0.000783717979492994,2.120666666666663,2.160450000000045,1.018759823954754
2025-12-12 04:16,UP↑,B,-0.0033096473029044595,1.575416666666691,0.9600166666667368,0.6093731816979987
2025-12-22 18:42,UP↑,B,-0.008266345461404432,2.7448000000000623,1.2002499999999903,0.4372814048382261
2026-01-20 23:56,UP↑,B,-0.0020459886492235043,1.9917166666667678,1.7922333333333427,0.8998435185727145
2026-02-01 15:06,DN↓,B,0.0,0.0,0.0,
2026-02-23 14:00,UP↑,B,0.0014454759781898907,2.178666666666701,2.466133333333346,1.1319461444308325
2026-04-06 03:40,UP↑,B,-0.002860092246493765,4.104866666666642,3.1654500000000096,0.7711456320140391
2026-04-22 22:00,DN↓,B,-0.007393709920784155,1.6064499999999347,0.10500000000000304,0.06536151140714451
2026-04-23 10:19,UP↑,B,-0.0009684252940571515,2.5398166666667596,2.168666666666756,0.8538674051276706
2026-05-12 16:23,UP↑,B,-0.005118829086794165,3.6656000000000555,2.754900000000043,0.7515549978175473
2026-05-26 18:02,UP↑,B,-0.0030270575426084895,2.164799999999953,1.748999999999963,0.8079268292682932
2026-06-24 16:35,DN↓,B,-0.017083145296800502,6.175750000000002,3.2110166666666524,0.5199395485028785
2026-07-01 10:11,UP↑,B,-0.003554842083604833,1.9755000000000336,1.3950000000000122,0.7061503416856434
2026-07-08 15:30,UP↑,B,0.002066132848667884,3.4468333333333097,3.8226666666666613,1.109037280595722
2026-07-15 16:56,UP↑,B,-0.0018975600973907183,2.7595000000000405,2.4793333333333143,0.8984719454007167
2026-08-05 10:02,UP↑,B,-0.003295578855320118,2.3401333333333243,1.744833333333372,0.7456127855962817
2026-09-11 03:45,UP↑,B,0.0012507998696893717,2.2282333333332947,2.499583333333385,1.1217780902658734
